Sub Boro Name,Borough,FIPS,ZIP,Unbanked 2011,Underbanked 2011,Unbanked 2013,Underbanked 2013,Prepaid 2011,Prepaid 2013,% Foreign born 2011,% Poor 2011,Median Income 2011,Unemployment 2011,% Poor 2013,% Foreign born 2013,Median income 2013,Unemployment 2013
New York City,New York City,0,0,0.14,0.22,0.12,0.25,0.10,0.12,0.37,0.18,49461,0.09,0.18,0.37,58012,0.09
The Bronx,The Bronx,0,0,0.28,0.27,0.22,0.30,0.12,0.14,0.34,0.28,32058,0.12,0.28,0.34,33009,0.12
Manhattan,Manhattan,0,0,0.11,0.17,0.09,0.21,0.10,0.12,0.29,0.15,66299,0.08,0.15,0.28,72190,0.07
Staten Island,Staten Island,0,0,0.07,0.17,0.07,0.19,0.10,0.11,0.21,0.09,70578,0.08,0.10,0.20,69633,0.08
Brooklyn,Brooklyn,0,0,0.15,0.23,0.13,0.27,0.11,0.13,0.37,0.20,42752,0.10,0.20,0.37,47520,0.09
Queens,Queens,0,0,0.09,0.25,0.08,0.25,0.10,0.10,0.48,0.13,53572,0.08,0.12,0.48,56599,0.08
Riverdale / Kingsbridge,Bronx,3701,10463,0.14,0.22,0.11,0.26,0.10,0.12,0.31,0.15,55119,0.12,0.12,0.30,60614,0.12
Riverdale / Kingsbridge,Bronx,3701,10471,0.14,0.22,0.11,0.26,0.10,0.12,0.31,0.15,55119,0.12,0.12,0.30,60614,0.12
Williamsbridge / Baychester,Bronx,3702,10466,0.20,0.32,0.16,0.35,0.12,0.13,0.40,0.17,43236,0.16,0.19,0.39,45633,0.14
Williamsbridge / Baychester,Bronx,3702,10467,0.20,0.32,0.16,0.35,0.12,0.13,0.40,0.17,43236,0.16,0.19,0.39,45633,0.14
Throgs Neck / Co-op City,Bronx,3703,10465,0.11,0.25,0.10,0.27,0.10,0.13,0.18,0.10,53436,0.12,0.08,0.22,56059,0.09
Throgs Neck / Co-op City,Bronx,3703,10475,0.11,0.25,0.10,0.27,0.10,0.13,0.18,0.10,53436,0.12,0.08,0.22,56059,0.09
Pelham Parkway,Bronx,3704,10461,0.21,0.24,0.15,0.28,0.11,0.12,0.34,0.19,40745,0.15,0.17,0.34,43075,0.13
Morrisania / East Tremont,Bronx,3705,10457,0.42,0.25,0.28,0.31,0.13,0.16,0.31,0.41,22370,0.21,0.39,0.32,24259,0.18
Morrisania / East Tremont,Bronx,3705,10456,0.42,0.25,0.28,0.31,0.13,0.16,0.31,0.41,22370,0.21,0.39,0.32,24259,0.18
Morrisania / East Tremont,Bronx,3705,10459,0.42,0.25,0.28,0.31,0.13,0.16,0.31,0.41,22370,0.21,0.39,0.32,24259,0.18
Kingsbridge Heights / Mosholu,Bronx,3706,10463,0.32,0.26,0.24,0.31,0.12,0.13,0.40,0.33,30646,0.17,0.34,0.43,29069,0.18
University Heights / Fordham,Bronx,3707,10453,0.35,0.30,0.30,0.33,0.12,0.15,0.42,0.37,25951,0.20,0.39,0.44,24261,0.16
University Heights / Fordham,Bronx,3707,10468,0.35,0.30,0.30,0.33,0.12,0.15,0.42,0.37,25951,0.20,0.39,0.44,24261,0.16
Highbridge / S. Concourse,Bronx,3708,10452,0.37,0.27,0.26,0.34,0.12,0.14,0.38,0.40,22849,0.19,0.34,0.41,26387,0.15
Soundview / Parkchester,Bronx,3709,10472,0.26,0.30,0.22,0.29,0.12,0.14,0.35,0.25,35833,0.12,0.28,0.29,32363,0.17
Soundview / Parkchester,Bronx,3709,10462,0.26,0.30,0.22,0.29,0.12,0.14,0.35,0.25,35833,0.12,0.28,0.29,32363,0.17
Soundview / Parkchester,Bronx,3709,10460,0.26,0.30,0.22,0.29,0.12,0.14,0.35,0.25,35833,0.12,0.28,0.29,32363,0.17
Mott Haven / Hunts Point,Bronx,3710,10451,0.43,0.25,0.31,0.30,0.13,0.16,0.28,0.39,21146,0.20,0.40,0.26,23083,0.12
Mott Haven / Hunts Point,Bronx,3710,10454,0.43,0.25,0.31,0.30,0.13,0.16,0.28,0.39,21146,0.20,0.40,0.26,23083,0.12
Mott Haven / Hunts Point,Bronx,3710,10455,0.43,0.25,0.31,0.30,0.13,0.16,0.28,0.39,21146,0.20,0.40,0.26,23083,0.12
Washington Heights / Inwood,Manhattan,3801,10032,0.22,0.26,0.18,0.30,0.10,0.12,0.48,0.24,37581,0.16,0.25,0.47,37462,0.14
Washington Heights / Inwood,Manhattan,3801,10033,0.22,0.26,0.18,0.30,0.10,0.12,0.48,0.24,37581,0.16,0.25,0.47,37462,0.14
Washington Heights / Inwood,Manhattan,3801,10040,0.22,0.26,0.18,0.30,0.10,0.12,0.48,0.24,37581,0.16,0.25,0.47,37462,0.14
Washington Heights / Inwood,Manhattan,3801,10034,0.22,0.26,0.18,0.30,0.10,0.12,0.48,0.24,37581,0.16,0.25,0.47,37462,0.14
Morningside Heights / Hamilton Heights,Manhattan,3802,10025,0.19,0.25,0.15,0.26,0.12,0.13,0.35,0.24,39486,0.11,0.17,0.32,45600,0.08
Morningside Heights / Hamilton Heights,Manhattan,3802,10027,0.19,0.25,0.15,0.26,0.12,0.13,0.35,0.24,39486,0.11,0.17,0.32,45600,0.08
Morningside Heights / Hamilton Heights,Manhattan,3802,10031,0.19,0.25,0.15,0.26,0.12,0.13,0.35,0.24,39486,0.11,0.17,0.32,45600,0.08
